Enable,Tag,Group,Source,Destination,Skip_P4,Prefix,Sed,Type,Binary
1,,Init,Init/gtt_reg_addr.h,ecore_gtt_reg_addr.h,,,,FW_TOOLS,
1,,Init,Init/gtt_values.h,ecore_gtt_values.h,,,,FW_TOOLS,
1,,Init,Init/init_values.h,ecore_init_values.h,,,,FW_TOOLS,
1,,Init,Init/init_values_zipped.h,ecore_init_values_zipped.h,,,,FW_TOOLS,
1,,Init,Init/iro.h,ecore_iro.h,,,,FW_TOOLS,
1,,Init,Init/iro_values.h,ecore_iro_values.h,,,,FW_TOOLS,
1,,Init,Init/reg_addr.h,../../hsi/hw/reg_addr.h,,,,FW_TOOLS,
1,,Init,Init/rt_defs.h,ecore_rt_defs.h,,,,FW_TOOLS,
1,debug_tools,Init,Init/dbg_values.h,ecore_dbg_values.h,,,,FW_TOOLS,
1,debug_tools,Init,Init/dbg_values_user.h,ecore_dbg_values_user.h,,,,,
1,debug_tools,Init,Init/dbg_values.bin,ecore_dbg_values.bin,,,,FW_TOOLS,yes
1,,Init,Init/init_values.bin,ecore_init_values.bin,,,,FW_TOOLS,yes
1,,Init,Init/init_values_zipped.bin,ecore_init_values_zipped.bin,,,,FW_TOOLS,yes
1,,Init,Init/bb.rdf,../ediag/rdfs/bb.rdf,,,,,
1,,Init,Init/k2.rdf,../ediag/rdfs/k2.rdf,,,,,
1,,Init,Init/e5.rdf,../ediag/rdfs/e5.rdf,,,,,
1,,Init,Init/except.tcl,../ediag/scripts/except.tcl,,,,,
1,,Targets,Targets/ecore_hsi_common.h,ecore_hsi_common.h,,,,FW_HSI,
1,,Targets,Targets/ecore_hsi_eth.h,ecore_hsi_eth.h,,,,FW_HSI,
1,,Targets,Targets/ecore_hsi_toe.h,ecore_hsi_toe.h,,,,FW_HSI,
1,,Targets,Targets/ecore_hsi_fcoe.h,ecore_hsi_fcoe.h,,,,FW_HSI,
1,,Targets,Targets/ecore_hsi_iscsi.h,ecore_hsi_iscsi.h,,,,FW_HSI,
1,,Targets,Targets/ecore_hsi_roce.h,ecore_hsi_roce.h,,,,FW_HSI,
1,,Targets,Targets/ecore_hsi_rdma.h,ecore_hsi_rdma.h,,,,FW_HSI,
1,,Targets,Targets/ecore_hsi_iwarp.h,ecore_hsi_iwarp.h,,,,FW_HSI,
1,debug_tools,Targets,Targets/ecore_hsi_debug_tools.h,ecore_hsi_debug_tools.h,,,,FW_HSI,
1,,Targets,Targets/ecore_hsi_init_func.h,ecore_hsi_init_func.h,,,,FW_HSI,
1,,Targets,Targets/ecore_hsi_init_tool.h,ecore_hsi_init_tool.h,,,,FW_HSI,
1,,Targets,Targets/qede_hsi.h,../linux/qede/qede_hsi.h,,,s/common_hsi.h/..\\/qed\\/common_hsi.h/g\\ns/eth_common.h/..\\/qed\\/eth_common.h/g,,
1,,Targets,Targets/qed_hsi_roce.h,../linux/qedr/qedr_hsi.h,,,s/common_hsi.h/..\\/qed\\/common_hsi.h/g\\ns/roce_common.h/..\\/qed\\/roce_common.h/g\\ns/qed_hsi_rdma.h/qedr_hsi_rdma.h/g,,
1,,Targets,Targets/qed_hsi_roce.h,../linux/qedr/usrlib/src/qelr_hsi.h,,,s/qed_hsi_rdma.h/qelr_hsi_rdma.h/g,,
1,,Targets,Targets/qed_hsi_rdma.h,../linux/qedr/qedr_hsi_rdma.h,,,s/rdma_common.h/..\\/qed\\/rdma_common.h/g,,
1,,Targets,Targets/qed_hsi_rdma.h,../linux/qedr/usrlib/src/qelr_hsi_rdma.h,,,,,
1,,Targets,Targets/*.h,hsi_repository/,,,,,
1,,Targets,Targets/common_hsi.h,../common/include/common_hsi.h,,,,FW_HSI,
1,,Targets,Targets/common_hsi.h,../linux/qedr/usrlib/src/common_hsi.h,,,,,
1,,Targets,Targets/eth_common.h,../common/include/eth_common.h,,,,FW_HSI,
1,,Targets,Targets/fcoe_common.h,../common/include/fcoe_common.h,,,,FW_HSI,
1,,Targets,Targets/iscsi_common.h,../common/include/iscsi_common.h,,,,FW_HSI,
1,,Targets,Targets/roce_common.h,../common/include/roce_common.h,,,,FW_HSI,
1,,Targets,Targets/roce_common.h,../linux/qedr/usrlib/src/roce_common.h,,,,,
1,,Targets,Targets/rdma_common.h,../common/include/rdma_common.h,,,,FW_HSI,
1,,Targets,Targets/rdma_common.h,../linux/qedr/usrlib/src/rdma_common.h,,,,,
1,,Targets,Targets/iwarp_common.h,../common/include/iwarp_common.h,,,,FW_HSI
1,,Targets,Targets/iwarp_common.h,../linux/qedr/usrlib/src/iwarp_common.h,,,,,
1,,Targets,Targets/storage_common.h,../common/include/storage_common.h,,,,FW_HSI,
1,,Targets,Targets/tcp_common.h,../common/include/tcp_common.h,,,,FW_HSI,
1,,Func,Func/ecore_init_fw_funcs.h,ecore_init_fw_funcs.h,,,,FW_TOOLS,
1,,Func,Func/ecore_init_fw_funcs.c,ecore_init_fw_funcs.c,,#include "bcm_osal.h"\\n#include "ecore_hw.h"\\n#include "ecore_init_ops.h",,FW_TOOLS,
